Date,User,Tweet
2022-10-04 18:50:53+00:00,SharronWardTV,"@MrMatthewTodd @SkyNews @BBCNews @itvnews @itn “Northern Ireland minister Steve Baker told a packed room that cutting #netzero commitments this year would save households more than £1,500 amid the ongoing energy crisis.”  And the cost to the UK in the wake of the impending #ClimateCrisis is incalculable. #desperatelobbyist"
2022-10-01 07:58:00+00:00,DarranMarshall,"Cost of living: Off-gridders are one step ahead in energy crisis

While many people are dismayed by the soaring cost of energy, a select few across Northern Ireland remain somewhat unaffected. https://t.co/m7yfgvcGj4"
2022-09-30 15:48:53+00:00,AndyBelfast,"@IRLPatricia @IrelandsFuture Sinn Fein keep telling its southern electorate that Ireland is a shit hole with busted healthcare, energy crisis, crippling cost of living, critical housing shortfall and hopeless public services - why would anyone in Northern Ireland want to join in?"
2022-09-29 16:01:17+00:00,LineGoesDown,"IRISH REUNIFICATION 2024
✅ Brexit
✅ UK’s Failed COVID-19 Response
✅ Sinn Fein Rising
✅ Witch is Dead
✅ Catholic Majority in Northern Ireland
✅ Looming Energy Crisis 
✅ British Pound Collapsing
🔜2023 Scottish Independence Referendum
🔜The United Kingdom Collapses"
2022-09-29 10:27:04+00:00,dailyinfo101,"@Citi_ZenSane @6171tara @alexmassie Scotland+Wales+Northern Ireland = 77 mps.
South England = 84 mps.

We always get what england votes.

We've had 300 years of hoping English voters will do the right thing. That's what we want indy. With the current, energy crisis, brexit and the currency all the fear is gone."
2022-09-28 14:34:52+00:00,theempressjulia,@POTUS should offer to help the UK with their energy crisis in exchange for giving Northern Ireland back to who it belongs. Real Darkest Brandon mood.
2022-09-27 09:18:03+00:00,JamesWhiteNI,"@GHarrisReid @DavidHenigUK Likewise Northern Ireland, more nationalist MLAs than unionist, more Catholics than Protestants, Stormont blocked by right-wing DUP, hoping to kill NI Protocol, from relieving energy crisis. Talk of referendum."
2022-09-26 17:40:29+00:00,News_Letter,"Vulnerable households in Northern Ireland face stark choices amid energy crisis...here's some top tips
https://t.co/koUfv9dfYW"
2022-09-24 07:16:21+00:00,allisonmbarker,@JeromeMayhew @EDP24 where to start? The RSPB angry? Sewage in the sea? Higher rate tax cuts? Bankers’ bonuses? Energy Crisis?  Pound falls to 37 year low? UK US Trade Deal? Northern Ireland Bill? I can’t wait to read your reply. @CarolineLucas @Keir_Starmer @EdwardJDavey
2022-09-23 17:50:14+00:00,IrelandinNY,"WATCH: An Taoiseach @MichealMartinTD will appear on @CNN at 2:15pm EST / 7:15pm (Irish Time) in conversation with Isa Soares (@IsaCNN) on Ukraine 🇺🇦, Europe’s energy crisis ⚡️, and Brexit / Northern Ireland Protocol. https://t.co/MPtrACp0do"
2022-09-23 13:56:41+00:00,SocialistAlt,"On September 8, Queen Elizabeth II died, ending the longest reign of any British monarch. Her death has highlighted tensions existing in Northern Ireland, amplified the issues at hand surrounding the energy crisis across the UK, &amp; halted major strikes. 🧵

https://t.co/RisPyLC3ib"
2022-09-22 21:17:29+00:00,IrelandinNY,"An Taoiseach @MichealMartinTD spoke to Bloomberg TV in New York today, in a wide-ranging interview covering Brexit and the Northern Ireland Protocol, Europe’s energy crisis and Ireland’s renewable energy targets."
2022-09-21 12:32:06+00:00,duncan_morrow,"Addressing the NI energy crisis will require the direct, specific and energetic (!) engagement of NI’s politicians. Unlike GB, 68 per cent of households in Northern Ireland (82 per cent in rural communities) are totally reliant on Home Heating oil.

https://t.co/KzBrbzaLFn"
2022-09-21 11:42:49+00:00,derek_fee,Stormont can do nothing for the energy crisis. Stormont has no money. Stormont gets all its money from the UK government in Westminster. The best way to help Northern Ireland get more money to help people is to bring in direct rule and stop paying useless MLAs #bbctalkback
2022-09-21 10:08:59+00:00,CllrSiLee,"Northern Ireland is being left behind when it comes to the energy crisis. 68% of households in NI rely on home heating oil, rising to 82% in rural areas. But the @SDLPlive has a plan to get support to households who are struggling."
2022-09-13 19:18:41+00:00,MarkCaslin2,"@TraceyOMahony81 Not esb's fault.
We need to cop on, we should be neutral, Ukraine is just as complicated as Northern Ireland with large Russian population in Donbass, being suppressed by Zelenski. The west has provoked this conflict.
We should stay neutral. = no energy crisis. Cop on."
2022-09-11 17:11:47+00:00,SwannCaron,"Well, I suppose there isn't much else for the PM to focus on...cost of living crisis, war in Ukraine, energy crisis, Northern Ireland protocol to name but a few burning issues.  https://t.co/MmlGkAwG3X"
2022-09-10 22:00:00+00:00,CivilShy,"@ChrisMasonBBC Doesn't she have more important things to do? 

Or has she solved the energy crisis, the NHS crisis, the courts crisis, the cost-of-living crisis, and the Northern Ireland issues?"
2022-09-08 12:46:04+00:00,HospUlster,"🗣 Prime Minister’s energy support package: ""It is critically important that this support announced by the Prime Minister is extended to Northern Ireland where the energy crisis is just as stark""
For more information click below:
https://t.co/cs3YpCKiA7 https://t.co/pFxEvfA6Ad"
2022-09-08 11:38:48+00:00,peteaos,"You know what would be great during all this energy crisis and planning? If Northern Ireland had any form of functioning government to sort out the logistics problems that Westminster keeps passing the buck on. 

No clarity on how help will be delivered here."
2022-09-08 09:04:31+00:00,mburns2009,"The people of Northern Ireland deserve a government to deal with the energy crisis:  ""Mr Murphy said the DUP’s boycott over Stormont in protest against the Northern Ireland Protocol means any financial support will not be able to be distributed here...""

https://t.co/geRLfHCpxD"
2022-09-08 08:23:47+00:00,mandy_mcauley,"“The lack of attention to Northern Ireland during this energy crisis is criminal” 

Chief Executive of @resfoundation @TorstenBell 

76.3% of NI households - more than any other area of the U.K. - are expected to be in fuel poverty by January. #energycrisis"
2022-09-07 20:55:42+00:00,TorstenBell,"The lack of attention to Northern Ireland during this energy crisis is criminal:
- never mentioned Ofgem/price caps don’t apply there
- Seven in ten (68 per cent of) Northern Irish homes are heated by oil
- lack of functioning executive means delays to support (ie £400 off bills)"
2022-09-07 18:53:23+00:00,columeastwood,"We need a tailored solution to tackle the energy crisis in Northern Ireland, but the DUP refuse to get back to work to fix it.

Liz Truss must decide whose side she's on- will she back people struggling to pay bills or the DUP who continue to do nothing while things get worse. https://t.co/ua5Em7x9IR"
2022-09-07 18:49:06+00:00,IrishTimes,Northern Ireland leaders to meet Heaton-Harris amid energy crisis https://t.co/pXlTJqkAP0
2022-09-07 15:10:14+00:00,ciabaudo,"War in the Ukraine, energy crisis, uncontrolled inflation, NHS under threat, rudderless government, pending troubles in Northern Ireland, Brexit, sewage in our rivers, drought, plague of locusts ... and now this! 
https://t.co/hiSmmZzKCC"
2022-09-07 14:32:49+00:00,BBCNolan,"An energy hike bigger than previous yearly bills. How will be the new PM’s plans to tackle the energy crisis get to Northern Ireland?

Podcast on 📲 @BBCSounds https://t.co/nAKM4lFqBc"
